sample_number,sample_date,lead_amount_ppm
1536645,2014-01-01,0.0078
1535456,2014-01-02,1.1e-4
1536641,2014-01-03,9.2e-5
1548101,2014-01-06,1.9e-4
1540991,2014-01-06,0.012
1535092,2014-01-07,0.0056
1535406,2014-01-08,3.3e-4
1538646,2014-01-08,0.006
1535461,2014-01-09,8.8e-4
1535457,2014-01-09,0.0016
1537589,2014-01-10,5e-5
1546023,2014-01-13,0.0015
1536622,2014-01-13,4.6e-4
1538648,2014-01-13,0.0067
1538643,2014-01-13,0.0019
1538637,2014-01-14,0.0063
1536627,2014-01-14,0.012
1538647,2014-01-14,3.8e-4
1538650,2014-01-15,6.4e-4
1537590,2014-01-15,8e-5
1540990,2014-01-16,0.0023
1545982,2014-01-16,3.6e-4
1540989,2014-01-16,0.014
1546030,2014-01-16,0.0044
1538649,2014-01-19,0.0015
1540984,2014-01-19,7.8e-4
1544830,2014-01-21,0.0016
1539299,2014-01-21,1.3e-4
1541351,2014-01-21,6.5e-5
1540983,2014-01-22,8e-4
1546026,2014-01-22,5.1e-5
1544828,2014-01-23,0.0027
1546009,2014-01-23,0.0028
1540972,2014-01-24,0.0013
1542263,2014-01-24,0.0052
1541357,2014-01-24,5e-5
1540993,2014-01-27,9e-4
1541344,2014-01-27,0.016
1544829,2014-01-27,0.0019
1542262,2014-01-28,6.8e-5
1541356,2014-01-28,0.012
1545983,2014-01-29,2.3e-4
1544526,2014-01-30,1.2e-4
1548107,2014-01-30,9.7e-5
1545984,2014-02-02,3e-4
1548124,2014-02-02,9.5e-5
1545985,2014-02-03,9e-5
1546032,2014-02-03,3.4e-4
1550659,2014-02-03,5.5e-5
1585740,2014-02-03,6.77e-5
1545995,2014-02-03,1.3e-4
1544832,2014-02-03,0.015
1544831,2014-02-04,0.0039
1545998,2014-02-05,0.0048
1555346,2014-02-07,5.4e-5
1546042,2014-02-07,0.0034
1551432,2014-02-09,8e-5
1548106,2014-02-10,0.0022
1551406,2014-02-10,0.0042
1548105,2014-02-10,0.007
1546863,2014-02-11,6.4e-4
1549057,2014-02-12,0.0052
1548103,2014-02-12,3.1e-4
1550686,2014-02-12,0.0062
1551431,2014-02-12,0.0017
1548125,2014-02-12,5e-5
1550660,2014-02-13,5e-5
1549070,2014-02-14,0.0039
1550684,2014-02-17,0.0035
1555518,2014-02-18,9e-4
1550685,2014-02-18,9.6e-5
1551404,2014-02-20,0.0018
1551407,2014-02-20,0.0084
1551410,2014-02-20,5.7e-4
1551443,2014-02-20,0.0014
1551408,2014-02-21,0.0011
1551405,2014-02-23,0.0029
1555537,2014-02-24,9.5e-4
1550682,2014-02-24,3.2e-4
1550688,2014-02-24,0.0088
1550683,2014-02-24,0.0095
1551409,2014-02-25,6e-5
1555543,2014-02-26,0.0023
1556413,2014-02-28,1e-4
1555569,2014-03-02,5e-5
1556417,2014-03-06,0.0026
1555544,2014-03-07,0.0025
1556416,2014-03-07,6.9e-4
1555515,2014-03-08,5.6e-5
1555510,2014-03-10,0.0024
1565880,2014-03-10,5e-5
1556415,2014-03-11,0.0076
1556412,2014-03-11,2.7e-4
1556418,2014-03-11,0.00093000000000000005
1556414,2014-03-11,7.9e-5
1565882,2014-03-11,6.19e-5
1559196,2014-03-13,1.2e-4
1559192,2014-03-14,6.8e-5
1565881,2014-03-14,2.58e-4
1560885,2014-03-17,0.0084
1562001,2014-03-17,2.2e-4
1562005,2014-03-18,0.0024
1565892,2014-03-18,9.38e-5
1559191,2014-03-19,1.4e-4
1562002,2014-03-20,0.0019
1559203,2014-03-20,3.2e-4
1561990,2014-03-20,0.007
1561989,2014-03-20,0.003
1561993,2014-03-21,0.0029
1561992,2014-03-21,8.5e-4
1560886,2014-03-23,0.0022
1565894,2014-03-23,2.49e-4
1560883,2014-03-24,5e-5
1561988,2014-03-24,0.0019
1562000,2014-03-24,0.0047
1560882,2014-03-25,0.0036
1561991,2014-03-25,0.0051
1560771,2014-03-26,5e-5
1560884,2014-03-26,2.6e-4
1561999,2014-03-26,0.0037
1567257,2014-03-27,0.00378
1564745,2014-03-27,1.17e-4
1563706,2014-03-28,1.39e-4
1568757,2014-03-28,7.32e-4
1567270,2014-03-31,4.72e-4
1567271,2014-03-31,0.0038
1564734,2014-03-31,5e-5
1564736,2014-03-31,1.08e-4
1567273,2014-03-31,9.62e-4
1567258,2014-04-01,1.63e-4
1563708,2014-04-01,0.00257
1567229,2014-04-01,0.00122
1563707,2014-04-01,8.02e-4
1563720,2014-04-01,0.013
1564735,2014-04-01,4.46e-4
1564733,2014-04-02,1.99e-4
1567259,2014-04-02,0.00566
1565884,2014-04-03,3.34e-4
1568764,2014-04-03,9.5e-5
1568759,2014-04-03,8.57e-4
1567227,2014-04-04,5e-5
1567228,2014-04-04,0.00336
1567226,2014-04-05,0.00328
1565893,2014-04-06,9.9e-5
1565883,2014-04-06,0.00324
1565879,2014-04-06,0.00322
1565885,2014-04-07,2.04e-4
1567272,2014-04-08,0.00112
1568758,2014-04-08,5e-5
1567248,2014-04-08,5.39e-4
1567268,2014-04-08,7.73e-4
1568412,2014-04-08,8.43e-5
1567287,2014-04-09,0.0047
1568415,2014-04-09,0.00137
1573055,2014-04-09,3.1e-4
1567247,2014-04-09,0.00435
1567269,2014-04-10,8.68e-4
1568413,2014-04-10,0.00625
1568418,2014-04-11,8.04e-5
1568414,2014-04-13,5e-5
1573057,2014-04-13,1.24e-4
1570004,2014-04-13,0.00133
1570003,2014-04-14,9.45e-5
1569992,2014-04-14,0.00517
1570901,2014-04-14,5e-5
1570905,2014-04-15,0.00161
1570903,2014-04-15,1.09e-4
1570902,2014-04-16,0.0035
1573341,2014-04-16,2.98e-4
1570002,2014-04-16,1.63e-4
1574931,2014-04-16,0.00612
1573056,2014-04-17,5e-4
1573356,2014-04-21,5e-5
1581107,2014-04-21,0.00444
1575153,2014-04-22,0.0211
1575139,2014-04-22,0.00318
1570904,2014-04-22,0.00431
1575137,2014-04-22,5.59e-4
1573048,2014-04-23,8.68e-5
1581112,2014-04-23,5e-5
1575168,2014-04-23,8.6e-5
1576198,2014-04-23,4.59e-4
1575138,2014-04-23,5.48e-5
1573369,2014-04-23,1.3e-4
1573396,2014-04-23,5e-5
1575167,2014-04-23,0.0218
1573339,2014-04-24,5e-5
1575170,2014-04-24,3.49e-4
1573344,2014-04-24,4.45e-4
1573342,2014-04-24,3.71e-4
1575166,2014-04-25,5e-5
1575151,2014-04-25,1.3e-4
1583822,2014-04-25,5e-5
1583826,2014-04-25,5.16e-4
1583934,2014-04-25,0.00478
1583973,2014-04-25,3.13e-4
1575003,2014-04-25,0.00117
1574999,2014-04-27,2e-4
1575169,2014-04-27,8.02e-4
1573047,2014-04-27,5e-5
1575172,2014-04-28,0.00713
1588957,2014-04-28,0.00266
1580513,2014-04-28,5.18e-5
1573370,2014-04-29,5.29e-4
1575143,2014-04-29,0.223
1575142,2014-04-29,9.63e-5
1575140,2014-04-29,0.00322
1575141,2014-04-30,1.39e-4
1575197,2014-04-30,0.00181
1575144,2014-04-30,0.0132
1579034,2014-05-01,1.85e-4
1579033,2014-05-01,7.49e-5
1581170,2014-05-02,6.64e-5
1581212,2014-05-02,1.03e-4
1579035,2014-05-02,5e-5
1579030,2014-05-05,0.00317
1597243,2014-05-05,0.00304
1581054,2014-05-06,6.61e-5
1578468,2014-05-06,0.00212
1581183,2014-05-07,1.21e-4
